reshares,likes,created_at
,,2021-01-28T14:50:50Z
,"{'total': 2, 'user_ids': [4491987, 3505763]}",2021-01-29T14:08:02Z
,,2021-01-23T04:52:02Z
"{'reshared_count': 3, 'user_ids': [1927839, 3172104, 3533821]}","{'total': 7, 'user_ids': [1655713, 3050819, 4407528, 2013559, 4772008, 3579849, 3172104]}",2021-01-30T20:19:05Z
,,2021-02-25T20:10:13Z
,,2021-02-03T18:29:07Z
,,2021-02-01T15:01:39Z
,"{'total': 2, 'user_ids': [3332215, 4596506]}",2021-01-29T19:06:19Z
,"{'total': 2, 'user_ids': [3028751, 4621299]}",2021-01-31T16:27:58Z
,,2021-01-27T18:37:18Z
,"{'total': 1, 'user_ids': [676615]}",2021-02-08T18:42:35Z
,"{'total': 1, 'user_ids': [4442250]}",2021-01-28T22:37:27Z
,"{'total': 5, 'user_ids': [3264603, 2150784, 3958614, 1342680, 4283740]}",2021-02-11T04:33:10Z
,,2021-02-02T19:56:32Z
,"{'total': 1, 'user_ids': [4226512]}",2021-01-27T09:26:58Z
,"{'total': 2, 'user_ids': [3050984, 683186]}",2021-01-26T14:59:39Z
,,2021-01-29T21:13:12Z
,"{'total': 3, 'user_ids': [1880806, 3608020, 1926785]}",2021-02-22T14:55:08Z
,"{'total': 1, 'user_ids': [3915303]}",2021-02-12T17:46:09Z
,"{'total': 5, 'user_ids': [3858318, 69689, 4333831, 3885939, 4044174]}",2021-01-15T09:42:58Z
,"{'total': 6, 'user_ids': [4350703, 3033999, 3321188, 3056919, 1357889, 3669415]}",2021-01-23T04:37:20Z
"{'reshared_count': 1, 'user_ids': [438119]}","{'total': 2, 'user_ids': [4053962, 4696174]}",2021-02-02T22:03:51Z
,,2021-01-27T16:26:58Z
"{'reshared_count': 1, 'user_ids': [4516697]}","{'total': 3, 'user_ids': [784850, 4106277, 1009370]}",2021-02-04T03:02:58Z
,"{'total': 16, 'user_ids': [4354196, 4517617, 3384185, 2149177, 4403296, 961009, 456525, 4643446, 3557237, 4716262, 2199388, 4460705, 4558661, 4513170, 3600636, 4576206]}",2021-01-27T23:47:23Z
,"{'total': 3, 'user_ids': [3524388, 501277, 3033475]}",2021-02-05T14:25:35Z
,"{'total': 1, 'user_ids': [4512527]}",2021-02-09T00:11:08Z
,"{'total': 1, 'user_ids': [4020363]}",2021-02-01T00:03:53Z
,"{'total': 1, 'user_ids': [1118054]}",2021-02-24T20:48:09Z
,,2021-02-18T20:56:47Z
,"{'total': 3, 'user_ids': [4639418, 4348825, 2223499]}",2021-01-26T22:19:14Z
,,2021-02-24T22:34:22Z
,"{'total': 1, 'user_ids': [166029]}",2021-01-27T14:31:43Z
,"{'total': 1, 'user_ids': [4391382]}",2021-02-12T01:44:27Z
,,2021-01-26T19:51:35Z
,,2021-02-24T20:43:40Z
,"{'total': 1, 'user_ids': [4319092]}",2021-02-01T15:33:49Z
"{'reshared_count': 1, 'user_ids': [4590266]}","{'total': 9, 'user_ids': [3010588, 3990093, 3482842, 4016004, 1481379, 1192003, 2251073, 3632763, 4781257]}",2021-02-11T00:02:02Z
,,2021-02-22T07:09:37Z
,"{'total': 2, 'user_ids': [4528814, 538656]}",2021-02-01T18:11:37Z
,"{'total': 6, 'user_ids': [2804757, 4520247, 3883595, 4287660, 3075517, 4575128]}",2021-01-27T13:19:40Z
,"{'total': 1, 'user_ids': [4340269]}",2021-02-26T17:18:27Z
,"{'total': 2, 'user_ids': [3579849, 4194410]}",2021-02-01T00:59:20Z
,"{'total': 4, 'user_ids': [4246388, 4472664, 4482723, 4613384]}",2021-01-17T19:07:47Z
,"{'total': 15, 'user_ids': [3071379, 3221867, 3768536, 2962923, 2915101, 3749360, 1357889, 4656600, 4346589, 1858727, 642100, 704655, 3571001, 4086407, 1519832]}",2021-01-27T04:32:25Z
,"{'total': 3, 'user_ids': [443371, 4426884, 3608020]}",2021-02-16T17:56:28Z
"{'reshared_count': 1, 'user_ids': [4390005]}","{'total': 5, 'user_ids': [4390005, 4827027, 4615037, 4573900, 1674410]}",2021-02-09T23:13:23Z
,"{'total': 4, 'user_ids': [2090147, 1782869, 4312655, 307831]}",2021-01-22T00:52:19Z
,"{'total': 5, 'user_ids': [3901975, 3975548, 4358789, 648103, 2202530]}",2021-01-14T18:54:58Z
,,2021-01-29T15:48:37Z
,"{'total': 1, 'user_ids': [3911404]}",2021-01-31T13:27:02Z
,"{'total': 2, 'user_ids': [1410887, 2265445]}",2021-02-19T18:29:17Z
,"{'total': 1, 'user_ids': [604358]}",2021-01-27T09:10:40Z
,"{'total': 3, 'user_ids': [846203, 4563538, 4782777]}",2021-02-26T01:38:03Z
,,2021-02-10T03:42:05Z
"{'reshared_count': 1, 'user_ids': [3461937]}","{'total': 5, 'user_ids': [2187082, 769937, 950194, 3833963, 1809286]}",2021-01-22T20:11:34Z
,"{'total': 4, 'user_ids': [862164, 4824980, 1616669, 3608020]}",2021-02-26T04:48:23Z
,,2021-02-25T14:38:02Z
,"{'total': 2, 'user_ids': [391854, 2953688]}",2021-02-05T04:38:23Z
,,2021-02-09T23:45:32Z
,"{'total': 3, 'user_ids': [4530827, 3830552, 4521174]}",2021-01-15T14:41:27Z
,"{'total': 4, 'user_ids': [3438089, 3679971, 4512527, 4547641]}",2021-01-27T11:39:35Z
,"{'total': 2, 'user_ids': [934689, 3628263]}",2021-01-25T15:22:30Z
,"{'total': 2, 'user_ids': [4536434, 4073773]}",2021-01-13T21:09:10Z
,"{'total': 3, 'user_ids': [3257910, 561038, 3170880]}",2021-01-27T17:59:08Z
,"{'total': 2, 'user_ids': [4710828, 4501079]}",2021-01-29T20:27:50Z
,"{'total': 1, 'user_ids': [3170880]}",2021-02-03T09:07:28Z
"{'reshared_count': 1, 'user_ids': [430689]}","{'total': 2, 'user_ids': [3518348, 1337652]}",2021-01-31T21:40:00Z
,"{'total': 1, 'user_ids': [2173209]}",2021-02-01T23:02:34Z
,"{'total': 1, 'user_ids': [4530827]}",2021-02-02T00:34:42Z
,"{'total': 5, 'user_ids': [3830552, 307831, 3813494, 3848342, 4073773]}",2021-01-25T10:33:48Z
,"{'total': 1, 'user_ids': [4490771]}",2021-01-31T14:20:05Z
,"{'total': 4, 'user_ids': [4563527, 4408424, 3249313, 4831923]}",2021-02-03T03:02:27Z
,"{'total': 4, 'user_ids': [3327659, 4490863, 4826187, 4323887]}",2021-02-03T15:54:54Z
,"{'total': 8, 'user_ids': [4082261, 4391793, 4564260, 3227547, 4391421, 4445521, 3628263, 3652163]}",2021-01-26T23:49:10Z
,,2021-01-28T14:12:14Z
,"{'total': 1, 'user_ids': [1361905]}",2021-01-26T20:18:43Z
,,2021-01-27T16:32:48Z
,"{'total': 2, 'user_ids': [2871445, 165336]}",2021-01-15T17:13:18Z
,"{'total': 2, 'user_ids': [4931079, 4073773]}",2021-02-25T19:35:34Z
,"{'total': 9, 'user_ids': [4421138, 4390071, 1393634, 3679037, 4726414, 3301604, 3696598, 4113311, 3785139]}",2021-01-28T14:01:14Z
,,2021-02-11T15:02:27Z
,,2021-01-26T23:40:10Z
,"{'total': 2, 'user_ids': [443371, 4972525]}",2021-02-18T21:13:16Z
,"{'total': 2, 'user_ids': [3579849, 184711]}",2021-02-01T18:32:58Z
,"{'total': 2, 'user_ids': [1344249, 3843078]}",2021-02-01T15:29:57Z
,"{'total': 3, 'user_ids': [4647822, 4010918, 33824]}",2021-01-30T21:28:59Z
,"{'total': 1, 'user_ids': [4546044]}",2021-02-24T21:11:41Z
,"{'total': 1, 'user_ids': [4403007]}",2021-01-27T16:09:49Z
,"{'total': 1, 'user_ids': [869626]}",2021-01-28T13:26:34Z
,"{'total': 3, 'user_ids': [3759128, 4965970, 5015305]}",2021-02-27T22:04:21Z
,"{'total': 3, 'user_ids': [4530827, 4381089, 4821088]}",2021-02-02T00:08:19Z
,"{'total': 2, 'user_ids': [4529957, 4450639]}",2021-01-26T15:29:20Z
,,2021-02-04T18:51:15Z
,,2021-01-26T20:18:49Z
,,2021-01-22T17:45:02Z
,"{'total': 7, 'user_ids': [4472664, 4287987, 4391062, 4557354, 3676715, 4521174, 4246165]}",2021-01-16T20:30:40Z
,"{'total': 1, 'user_ids': [3601982]}",2021-01-27T16:18:33Z
,"{'total': 2, 'user_ids': [2003467, 350958]}",2021-01-25T15:46:37Z
,,2021-02-01T14:44:05Z
,"{'total': 5, 'user_ids': [358559, 4325654, 4353635, 1486053, 4512527]}",2021-02-07T12:49:42Z
,,2021-01-27T15:06:11Z
,"{'total': 3, 'user_ids': [4657240, 4584900, 4970734]}",2021-02-12T16:38:14Z
,,2021-01-29T01:00:40Z
,"{'total': 2, 'user_ids': [3523006, 4593350]}",2021-01-14T18:47:22Z
,,2021-02-01T12:38:59Z
,"{'total': 7, 'user_ids': [2901551, 1243494, 3579849, 4353901, 1181833, 4785517, 2985284]}",2021-02-02T12:47:34Z
,"{'total': 5, 'user_ids': [4592055, 1800563, 1417823, 4151904, 3086068]}",2021-01-29T19:24:25Z
,,2021-02-19T18:09:44Z
,,2021-01-25T16:50:18Z
,"{'total': 11, 'user_ids': [4535158, 4826010, 4308348, 1393372, 4571118, 4492507, 4980232, 4093767, 1049153, 4479510, 4965893]}",2021-02-25T00:44:56Z
,"{'total': 10, 'user_ids': [2015230, 4663060, 3012089, 4270225, 335051, 4175025, 4294969, 4556991, 563825, 857341]}",2021-01-29T04:27:48Z
,"{'total': 5, 'user_ids': [3858318, 4461698, 4419774, 3489353, 3634423]}",2021-01-14T14:37:06Z
,,2021-01-28T17:18:36Z
,"{'total': 1, 'user_ids': [228185]}",2021-02-05T15:02:14Z
,"{'total': 2, 'user_ids': [4406378, 2965146]}",2021-02-26T12:46:23Z
,"{'total': 1, 'user_ids': [3390879]}",2021-02-01T12:14:41Z
,"{'total': 1, 'user_ids': [1997489]}",2021-01-27T19:39:54Z
,"{'total': 1, 'user_ids': [4647822]}",2021-01-29T12:31:53Z
,"{'total': 2, 'user_ids': [4377545, 4377174]}",2021-02-08T19:26:36Z
,"{'total': 5, 'user_ids': [2266320, 1777432, 3608020, 5029749, 1690514]}",2021-02-24T16:20:48Z
,,2021-02-09T17:56:26Z
,"{'total': 1, 'user_ids': [4809339]}",2021-02-05T15:20:32Z
,"{'total': 1, 'user_ids': [4277851]}",2021-01-27T20:57:27Z
,"{'total': 1, 'user_ids': [1215786]}",2021-02-24T20:56:45Z
,,2021-02-04T20:48:20Z
,"{'total': 2, 'user_ids': [4490771, 958440]}",2021-01-29T20:19:22Z
,,2021-02-02T23:55:39Z
,"{'total': 3, 'user_ids': [4156128, 1656202, 3608020]}",2021-02-25T12:40:47Z
,,2021-01-27T18:48:39Z
,"{'total': 1, 'user_ids': [407233]}",2021-01-29T08:40:33Z
"{'reshared_count': 1, 'user_ids': [3254079]}","{'total': 5, 'user_ids': [1487682, 1969002, 4329145, 3481721, 3254079]}",2021-01-28T07:12:48Z
,,2021-01-29T19:53:11Z
,"{'total': 8, 'user_ids': [3634423, 4287987, 4376901, 1436857, 4495662, 4557354, 3975548, 4371893]}",2021-01-15T18:27:51Z
,,2021-01-22T18:06:14Z
,"{'total': 2, 'user_ids': [4300019, 3608020]}",2021-02-04T19:01:02Z
,"{'total': 1, 'user_ids': [4530827]}",2021-01-15T16:00:34Z
,,2021-01-21T20:01:56Z
,"{'total': 1, 'user_ids': [4464321]}",2021-01-28T16:26:28Z
,"{'total': 2, 'user_ids': [3019497, 197479]}",2021-01-29T19:30:35Z
,"{'total': 2, 'user_ids': [3973149, 1625803]}",2021-01-25T09:53:59Z
,"{'total': 3, 'user_ids': [1630183, 4503852, 3796022]}",2021-02-18T17:38:44Z
,"{'total': 2, 'user_ids': [786562, 1053337]}",2021-01-28T18:53:27Z
,,2021-01-30T23:43:01Z
,"{'total': 1, 'user_ids': [3755015]}",2021-02-24T23:39:33Z
,"{'total': 2, 'user_ids': [3343243, 3426112]}",2021-01-28T15:54:18Z
,"{'total': 1, 'user_ids': [4596324]}",2021-02-24T15:09:45Z
,"{'total': 7, 'user_ids': [4690659, 4622392, 2097237, 641002, 4464671, 1791231, 376937]}",2021-01-27T00:08:16Z
,,2021-02-24T20:30:26Z
,"{'total': 1, 'user_ids': [3634423]}",2021-01-14T13:14:42Z
,,2021-02-26T17:30:03Z
,,2021-01-28T20:58:42Z
,,2021-02-10T18:20:20Z
,,2021-01-26T21:41:59Z
,"{'total': 4, 'user_ids': [4455625, 606104, 194998, 532396]}",2021-02-25T13:52:47Z
,"{'total': 2, 'user_ids': [4492430, 1278208]}",2021-02-03T01:09:29Z
,,2021-02-26T18:27:30Z
,"{'total': 1, 'user_ids': [2187082]}",2021-01-25T16:52:00Z
,"{'total': 1, 'user_ids': [2987649]}",2021-02-09T09:41:33Z
,"{'total': 1, 'user_ids': [4859831]}",2021-02-26T18:10:53Z
"{'reshared_count': 1, 'user_ids': [4788357]}",,2021-01-30T01:56:37Z
,,2021-01-29T15:18:18Z
,,2021-02-02T14:57:20Z
,"{'total': 2, 'user_ids': [4353470, 1588050]}",2021-02-11T10:40:12Z
,"{'total': 16, 'user_ids': [3160088, 4784573, 3374354, 127570, 4894802, 1423761, 3811139, 2992682, 910609, 2067657, 991026, 294306, 1331505, 431019, 2727024, 4451233]}",2021-02-06T15:26:01Z
,,2021-02-02T14:31:08Z
,,2021-01-27T20:49:56Z
,"{'total': 1, 'user_ids': [3015551]}",2021-02-01T21:33:51Z
,,2021-01-27T13:23:55Z
,"{'total': 1, 'user_ids': [4462188]}",2021-01-27T21:37:43Z
,"{'total': 4, 'user_ids': [4521174, 4656427, 2771362, 3184047]}",2021-01-22T16:24:57Z
,"{'total': 1, 'user_ids': [3579849]}",2021-02-02T12:28:01Z
,,2021-01-13T18:52:32Z
,"{'total': 7, 'user_ids': [2891964, 3311194, 4246652, 2826165, 1811315, 2838285, 1058584]}",2021-01-13T19:18:38Z
,"{'total': 2, 'user_ids': [3693556, 5030110]}",2021-02-27T16:53:14Z
,"{'total': 2, 'user_ids': [4312655, 3170880]}",2021-02-05T01:11:15Z
,"{'total': 3, 'user_ids': [1566473, 4391382, 824939]}",2021-02-18T15:18:21Z
"{'reshared_count': 1, 'user_ids': [4571321]}","{'total': 12, 'user_ids': [4560468, 3903898, 3605401, 3263464, 3642841, 4491269, 3312421, 4881495, 1535038, 4454039, 3938961, 4571321]}",2021-02-24T21:55:08Z
,"{'total': 7, 'user_ids': [3281814, 4592480, 5030742, 1519390, 4625348, 4050531, 4700483]}",2021-02-25T06:58:25Z
,,2021-02-02T18:42:49Z
,"{'total': 1, 'user_ids': [3743641]}",2021-01-22T18:34:23Z
,"{'total': 3, 'user_ids': [1690933, 2806635, 120272]}",2021-01-13T17:04:45Z
,"{'total': 1, 'user_ids': [1580593]}",2021-02-01T13:21:28Z
,,2021-02-02T15:04:21Z
,"{'total': 10, 'user_ids': [3397069, 3579849, 1643252, 4572617, 3421900, 4301915, 4772169, 4409675, 1800278, 3570297]}",2021-02-02T10:51:06Z
,"{'total': 6, 'user_ids': [3907317, 2786339, 1509307, 3772745, 4396942, 4012912]}",2021-01-31T21:42:31Z
,"{'total': 1, 'user_ids': [4903368]}",2021-02-18T17:48:30Z
,,2021-01-13T16:58:24Z
,"{'total': 1, 'user_ids': [3770167]}",2021-02-16T16:01:41Z
,"{'total': 1, 'user_ids': [4262735]}",2021-01-25T13:52:00Z
,"{'total': 4, 'user_ids': [3418884, 1613895, 4530827, 4703605]}",2021-02-01T18:33:47Z
,"{'total': 1, 'user_ids': [4645047]}",2021-01-22T22:50:27Z
,"{'total': 1, 'user_ids': [4734092]}",2021-02-26T17:28:42Z
,"{'total': 12, 'user_ids': [3675285, 3418324, 3129645, 3468806, 4307467, 4378547, 4391062, 3479244, 4223265, 4484097, 4388049, 1576329]}",2021-01-22T16:23:22Z
,,2021-01-27T17:17:01Z
,"{'total': 1, 'user_ids': [4588494]}",2021-01-26T20:13:56Z
,"{'total': 1, 'user_ids': [4508153]}",2021-01-25T21:11:22Z
,,2021-02-24T22:53:58Z
,"{'total': 5, 'user_ids': [3310734, 4519768, 4381960, 3610779, 4157447]}",2021-02-03T22:34:14Z
,,2021-02-25T20:57:24Z
,,2021-02-01T11:52:59Z
,"{'total': 11, 'user_ids': [573165, 4416545, 4548218, 1241236, 4898674, 2162281, 4529556, 4297501, 3811324, 5108483, 2830137]}",2021-02-25T01:08:04Z
,"{'total': 3, 'user_ids': [4304507, 4364915, 780070]}",2021-01-30T14:47:23Z
,"{'total': 3, 'user_ids': [3579849, 2990511, 3357133]}",2021-02-01T18:40:14Z
,"{'total': 1, 'user_ids': [4501617]}",2021-01-28T03:45:36Z
"{'reshared_count': 1, 'user_ids': [3450304]}","{'total': 10, 'user_ids': [4821688, 3608020, 3914740, 4292325, 4132328, 3921587, 4403263, 911299, 499821, 2172964]}",2021-02-11T11:16:20Z
,,2021-02-03T19:32:13Z
,"{'total': 2, 'user_ids': [4601237, 4420700]}",2021-01-26T21:43:19Z
,"{'total': 2, 'user_ids': [4073773, 944858]}",2021-01-26T21:40:58Z
,"{'total': 11, 'user_ids': [3415021, 3534995, 3257814, 283608, 2814610, 2971152, 4579207, 3876096, 4584069, 4307714, 1492129]}",2021-01-29T19:54:26Z
,,2021-01-29T09:45:49Z
,"{'total': 3, 'user_ids': [1293768, 4776983, 629927]}",2021-02-26T12:49:06Z
,"{'total': 5, 'user_ids': [4658656, 4485518, 1967627, 2987805, 4589154]}",2021-02-04T16:06:22Z
,,2021-01-26T20:00:50Z
,"{'total': 1, 'user_ids': [3524213]}",2021-01-27T21:44:17Z
,"{'total': 6, 'user_ids': [4851481, 4056414, 4367345, 2947145, 4516697, 238452]}",2021-02-03T17:31:55Z
,"{'total': 3, 'user_ids': [3260097, 3173691, 3074954]}",2021-01-27T15:33:16Z
,,2021-01-23T00:37:30Z
,"{'total': 4, 'user_ids': [1243494, 1312723, 1215786, 443371]}",2021-02-09T15:57:01Z
,,2021-02-26T18:17:41Z
,"{'total': 7, 'user_ids': [482233, 3821473, 3438083, 307831, 1717430, 3050466, 165794]}",2021-01-25T10:46:43Z
"{'reshared_count': 1, 'user_ids': [3485575]}",,2021-01-27T16:44:20Z
,"{'total': 4, 'user_ids': [1096123, 172156, 198791, 3713217]}",2021-02-03T07:32:31Z
,"{'total': 2, 'user_ids': [4123350, 3550358]}",2021-01-28T11:30:38Z
,,2021-02-09T18:00:48Z
,"{'total': 6, 'user_ids': [445459, 3872105, 4195583, 3150327, 3816488, 4010918]}",2021-01-22T04:28:26Z
,"{'total': 3, 'user_ids': [462706, 3176521, 3744729]}",2021-01-25T18:43:05Z
,,2021-02-05T20:40:04Z
,"{'total': 2, 'user_ids': [2959648, 2217926]}",2021-02-25T17:19:58Z
,,2021-02-02T17:52:13Z
"{'reshared_count': 1, 'user_ids': [1416236]}","{'total': 3, 'user_ids': [3207748, 1985033, 1416236]}",2021-02-08T06:32:57Z
,"{'total': 3, 'user_ids': [1044889, 203613, 5126159]}",2021-02-24T21:37:02Z
,"{'total': 2, 'user_ids': [3583632, 3143162]}",2021-01-15T15:12:51Z
,"{'total': 4, 'user_ids': [1243494, 2001348, 3664320, 4424307]}",2021-02-05T08:11:06Z
,"{'total': 12, 'user_ids': [3579849, 3977274, 4859701, 1508384, 4904956, 2917356, 4422044, 4565514, 4457178, 1202058, 4762452, 4349011]}",2021-02-08T15:57:50Z
,"{'total': 1, 'user_ids': [5127167]}",2021-02-25T14:55:54Z
,,2021-02-05T01:46:02Z
,"{'total': 5, 'user_ids': [837488, 1146450, 2240484, 4293642, 2895972]}",2021-02-02T02:22:19Z
,"{'total': 1, 'user_ids': [4395813]}",2021-01-25T14:39:00Z
,"{'total': 1, 'user_ids': [4534810]}",2021-01-15T14:38:16Z
,"{'total': 4, 'user_ids': [4820102, 4810406, 4822627, 4800844]}",2021-02-02T03:06:55Z
,"{'total': 1, 'user_ids': [2097667]}",2021-01-28T19:48:19Z
,"{'total': 4, 'user_ids': [4530827, 4496685, 1437296, 648103]}",2021-01-22T14:53:01Z
"{'reshared_count': 1, 'user_ids': [4618296]}",,2021-01-27T11:20:02Z
,,2021-01-25T10:50:21Z
"{'reshared_count': 1, 'user_ids': [835196]}","{'total': 1, 'user_ids': [1493433]}",2021-01-26T20:49:02Z
,"{'total': 4, 'user_ids': [1199413, 3946317, 4188195, 3449936]}",2021-02-05T15:35:36Z
,"{'total': 3, 'user_ids': [1611836, 3069448, 5136085]}",2021-02-24T22:27:13Z
,,2021-01-28T00:29:28Z
,"{'total': 1, 'user_ids': [1666873]}",2021-02-01T17:18:25Z
,"{'total': 2, 'user_ids': [4371893, 4594229]}",2021-01-19T16:17:43Z
,"{'total': 1, 'user_ids': [4322666]}",2021-01-15T22:00:24Z
,,2021-01-22T17:42:11Z
,,2021-01-31T17:10:46Z
"{'reshared_count': 1, 'user_ids': [4293764]}","{'total': 8, 'user_ids': [3281814, 4293764, 4416107, 4542720, 4691759, 1690514, 3852318, 4485535]}",2021-02-17T10:59:30Z
,,2021-02-23T16:16:26Z
,"{'total': 2, 'user_ids': [4485018, 4512527]}",2021-02-02T13:48:05Z
,"{'total': 18, 'user_ids': [907501, 3601443, 2257784, 3415219, 4631417, 3101512, 4527104, 4127985, 4474189, 4227853, 4429684, 4462987, 1035346, 2915203, 3132467, 4002635, 3776517, 3508301]}",2021-01-28T04:38:35Z
,"{'total': 4, 'user_ids': [1429129, 1676127, 4429826, 2166774]}",2021-01-29T16:27:51Z
,,2021-01-28T16:44:31Z
,"{'total': 1, 'user_ids': [2919380]}",2021-02-01T16:00:10Z
,"{'total': 2, 'user_ids': [1470137, 1705117]}",2021-01-28T00:39:10Z
,"{'total': 1, 'user_ids': [3883595]}",2021-01-27T17:11:33Z
,"{'total': 3, 'user_ids': [4391062, 4495662, 3975548]}",2021-01-07T22:26:42Z
,"{'total': 6, 'user_ids': [3883595, 4163006, 2995811, 4657960, 4444596, 4698200]}",2021-01-27T15:43:02Z
,"{'total': 10, 'user_ids': [4570712, 4406612, 4267402, 4512527, 1709991, 13185, 1342680, 3508301, 4658193, 4092286]}",2021-01-28T09:23:11Z
,,2021-02-02T23:02:36Z
,"{'total': 13, 'user_ids': [3520743, 3965014, 4451916, 3222477, 3037817, 4330571, 4012398, 1118054, 611243, 3852933, 521444, 3018147, 4580463]}",2021-01-25T22:42:54Z
,,2021-01-29T13:23:25Z
,"{'total': 8, 'user_ids': [4002320, 328614, 4208137, 3764062, 3099563, 4943844, 3866850, 4528814]}",2021-02-25T19:45:56Z
,,2021-02-01T15:07:25Z
,"{'total': 1, 'user_ids': [2820444]}",2021-01-29T04:00:09Z
,"{'total': 3, 'user_ids': [1146450, 4648588, 4376044]}",2021-02-01T22:30:13Z
,,2021-02-08T19:04:06Z
,"{'total': 3, 'user_ids': [3816355, 4293642, 3170880]}",2021-01-29T23:29:39Z
,,2021-02-24T19:36:39Z
,,2021-02-24T21:39:54Z
,,2021-02-01T10:41:00Z
,"{'total': 1, 'user_ids': [521444]}",2021-01-22T14:42:16Z
,"{'total': 2, 'user_ids': [4424307, 4512527]}",2021-02-05T18:09:27Z
,,2021-02-05T18:34:51Z
,"{'total': 7, 'user_ids': [4292380, 4964492, 1552350, 4340290, 571513, 5065124, 5054592]}",2021-02-27T20:28:50Z
,"{'total': 1, 'user_ids': [3915086]}",2021-02-02T20:41:54Z
,"{'total': 1, 'user_ids': [4492511]}",2021-02-24T23:38:31Z
,"{'total': 4, 'user_ids': [4796889, 4590511, 4516069, 4808203]}",2021-02-04T15:19:46Z
,,2021-01-29T09:11:13Z
,"{'total': 1, 'user_ids': [3179128]}",2021-02-08T18:12:45Z
,"{'total': 1, 'user_ids': [4632148]}",2021-01-29T15:55:30Z
,,2021-01-27T06:14:15Z
,"{'total': 4, 'user_ids': [4003365, 4431075, 4394362, 4641599]}",2021-01-29T21:39:17Z
,"{'total': 1, 'user_ids': [4499929]}",2021-02-24T20:20:17Z
,"{'total': 1, 'user_ids': [1065748]}",2021-02-04T20:00:16Z
,"{'total': 2, 'user_ids': [929231, 1179117]}",2021-02-03T10:14:21Z
,"{'total': 4, 'user_ids': [3335067, 4732950, 3915303, 2903998]}",2021-01-27T23:23:04Z
,,2021-01-25T17:14:58Z
,"{'total': 2, 'user_ids': [3390087, 4502338]}",2021-01-28T11:21:30Z
,"{'total': 4, 'user_ids': [4404192, 1802227, 307831, 4465029]}",2021-01-26T18:11:05Z
,"{'total': 1, 'user_ids': [1868534]}",2021-02-10T14:38:58Z
,"{'total': 2, 'user_ids': [4530827, 3975548]}",2021-01-19T17:13:58Z
,"{'total': 2, 'user_ids': [4300353, 3379614]}",2021-01-26T19:16:52Z
,"{'total': 1, 'user_ids': [3244631]}",2021-02-26T16:29:16Z
,"{'total': 2, 'user_ids': [4616391, 4292475]}",2021-02-02T13:56:23Z
,,2021-02-25T09:05:50Z
,,2021-01-29T12:59:38Z
,"{'total': 1, 'user_ids': [1973523]}",2021-02-12T13:55:00Z
,"{'total': 1, 'user_ids': [2164792]}",2021-02-01T17:31:58Z
,,2021-01-28T00:44:01Z
,"{'total': 1, 'user_ids': [2992955]}",2021-01-31T23:36:47Z
,,2021-02-02T15:45:33Z
,"{'total': 1, 'user_ids': [159301]}",2021-01-27T14:06:21Z
,,2021-01-27T19:31:51Z
,"{'total': 10, 'user_ids': [3050984, 3922035, 1669826, 4209078, 2140152, 4376412, 1960246, 4335697, 4510951, 3704120]}",2021-02-02T12:24:35Z
,"{'total': 2, 'user_ids': [4817030, 687699]}",2021-02-05T10:03:55Z
,"{'total': 1, 'user_ids': [4466728]}",2021-02-01T04:21:40Z
,"{'total': 5, 'user_ids': [4632924, 4371879, 1782869, 307831, 4537874]}",2021-01-25T01:45:52Z
,,2021-01-27T14:54:52Z
,"{'total': 10, 'user_ids': [4356569, 4323247, 1800758, 1308336, 4539318, 4561267, 3756327, 3875214, 962138, 4626783]}",2021-01-28T02:27:58Z
,"{'total': 2, 'user_ids': [1815666, 897100]}",2021-02-05T15:35:14Z
,,2021-02-03T22:20:54Z
,"{'total': 2, 'user_ids': [386130, 2187082]}",2021-01-19T16:58:18Z
,"{'total': 7, 'user_ids': [4016460, 2950809, 2247309, 4073773, 2068700, 2902552, 4236908]}",2021-01-28T16:44:50Z
,"{'total': 8, 'user_ids': [3903005, 3446314, 1375872, 4500586, 2982127, 3217545, 4700483, 3870417]}",2021-02-03T04:30:31Z
"{'reshared_count': 1, 'user_ids': [4731666]}","{'total': 5, 'user_ids': [4094466, 2090366, 4767079, 663680, 4301941]}",2021-01-29T04:34:56Z
,,2021-02-03T15:11:47Z
"{'reshared_count': 4, 'user_ids': [4680738, 4585061, 3876096, 4367248]}","{'total': 2, 'user_ids': [4680738, 3876096]}",2021-01-29T19:58:26Z
,"{'total': 1, 'user_ids': [3019009]}",2021-01-28T22:50:05Z
,"{'total': 1, 'user_ids': [3200353]}",2021-02-18T20:19:43Z
,,2021-01-28T10:03:05Z
,,2021-01-28T16:44:27Z
,"{'total': 2, 'user_ids': [1208189, 3125530]}",2021-01-30T00:45:51Z
,"{'total': 4, 'user_ids': [4334930, 1508623, 3192022, 4190554]}",2021-02-02T14:21:47Z
,"{'total': 7, 'user_ids': [4530804, 4378795, 1284639, 4438442, 4189164, 3603207, 2890297]}",2021-01-26T22:50:10Z
,"{'total': 1, 'user_ids': [4512527]}",2021-02-08T18:40:10Z
,"{'total': 1, 'user_ids': [4079828]}",2021-02-02T17:31:12Z
,,2021-02-03T14:26:05Z
,"{'total': 1, 'user_ids': [4395473]}",2021-02-25T17:16:30Z
,"{'total': 1, 'user_ids': [4481406]}",2021-02-02T15:33:28Z
,"{'total': 2, 'user_ids': [4376769, 1389114]}",2021-02-25T06:18:16Z
